0,thời hạn của quy hoạch giao thông vận tải,người lái xe kinh doanh vận tải cân thực hiện những công việc gì để thường xuyên rèn luyện nâng cao dạo đức nghề nghiệp
0,trách nhiệm của bộ giao thông vận tải với quy hoạch,người nhận hàng cố các quyền gì
0,khoản 4 điều 7 luật giao thông,người có văn hóa giao thông khi điều khiển xe cơ giới tham gia giao thông đường bộ phải đảm bảo các điều kiện gì
0,xe ô tô khách thành phố là gì,người tham giai giao thông phải chấp hành những quy tắc nào
0,khối lượng toàn bộ cho phép của phương tiện là gì,người thuê vận tải hàng hôas có các quyền hạn gì theo quy định
0,khoản 3 điều 7 luật giao thông,người tham giai giao thông phải chấp hành những quy tắc nào
0,khoản 1 điều 3 luật giao thông,xe ô tô tham gia giao thông đường bộ phải bảo đảm các quy định về chất lượng an toàn kỹ thuật và bảo vệ môi trường nào ghi dưới đây
0,điều 1 luật giao thông đường bộ,khi sơ cứu ban đầu cho người bị tai nạn giao thông đường bộ không còn hô hấp người lái xe và người có mặt tại hiện trường vụ tai nạn phải thực hiện các công việc gì
0,xe ô tô khách là gì,khi dừng xe đỗ xe tại nơi được phép trên đường phố người điều khiển phương tiện phải tuân theo những quy định nào
0,chương 1 gồm bao nhiêu điều,khi lái xe ô tô đường sắt không có rào chắn không có người điều khiển giao thông người lái xe phải xử lý như thế nào
0,chạy nhanh được không,khái niệm đường bộ được hiểu như thế nào là đúng
0,phá đường có sao không,khi điều khiển xe trên đường vòng người lái xe cần phải làm gì
0,dùng xe đểu được không,người ngồi trên e mô tô hai bánh xe mô tô ba bánh xe gắn máy khi tham gia giao thông có được mang vác vật cồng kềnh hay không
0,phương tiện giao thông cơ giới là gì,khi điều khiển xe giảm số người lái xe cần chú ý những điểm gì
0,khối lượng bản thân của phương tiện là gì,người lái xe phải làm gì khi đều khiển xe vào đường cao tốc
0,sơ mi rơ moóc là gì,mọi hành vi vi phạm luật giao thông đường bộ được xử lý như thế nào
0,phạm vi điều chỉnh luật giao thông đường bộ,khi vào số để tiến hoặc lùi xe ô tô có số tự động người lái xe phải thực hiện các thao tác nào để đảm bảo an toàn
0,quản lý hoạt động giao thông như thế nào,trong các hành vi dưới đây người lái xe mô tô có văn hóa giao thông phải ứng xử như thế nào
0,khoản 2 điều 7 luật giao thông,có mấy loại dải phân cách
0,xe ô tô khách thành phố là gì,hàng nguy hiểm hàng có mùi hôi thối hoặc động vật hàng hoá khác có ảnh hưởng đến sức khoẻ hành khách được nhận chở trên xe khách hay không
0,thông tin về luật giao thông đường bộ,hàng siêu trường siêu trọng được hiểu như thế nào
0,khối lượng toàn bộ thiết kế là gì,bên trái đường một chiều người lái xe có được dừng đỗ xe hay không
0,luật nào quy định về quy tắc giao thông,vận tải đa phương thức được hiểu như thế nào
0,xe ô tô chở hàng là gì,người điều khiển giao thông gồm những thành phần nào
0,khối lượng toàn bộ cho phép của phương tiện là gì,khi khởi hành ô tô trên đường bằng người lái xe cần thực hiện các thao tác nào theo trình tự dưới đây
0,người điều khiển phương tiện là gì,khi lái xe trên đường vắng mà cảm thấy buồn ngủ người lái xe nên chọn cách xử lý như thế nào
0,phần đường xe chạy là gì,khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt người lái xe xử lý như thế nào
0,xe gắn máy là gì,chủ xe và người lái xe bánh xích xe quá khổ quá tải có trách nhiệm gì khi cho xe tham gia giao thông đường bộ
0,phương tiện đa tính năng là gì,tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu khi đèn tín hiệu màu đỏ đã bật sáng hoặc có tiếng chuông báo hiệu người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất
0,người điều khiển phương tiện là gì,có mấy loại dải phân cách
0,chương 1 gồm bao nhiêu điều,khi xảy ra tai nạn giao thông có người bị thương nghiệm trọng người lái xe và người có mặt tai nạn hiện trường tai nạn phải thực hiện các công việc gì
0,phương tiện giao thông cơ giới là gì,hãy nêu công dụng hộp số của ô tô
0,phương tiện giao thông công nghệ mới là gì,người ngồi trên e mô tô hai bánh xe mô tô ba bánh xe gắn máy khi tham gia giao thông có được mang vác vật cồng kềnh hay không
0,thông tin về luật giao thông đường bộ,người phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm phạm hành lanh an toàn đường bộ bị lấn chiếm phải có trách nhiệm gì
0,đi đường gặp người tai nạn không cứu được không,xe vận tải có thùng cố định bảo đảm an toàn giao thông được phép chở người trong những trường hợp nào
0,điều khoản nào quy định đối tượng áp dụng,khi điều khiển xe ô tô trên đường trơn cần chú ý những điểm gì
